order_id,customer_name,city,state,product_name,category,quantity,price,total_price,payment_method,order_status,order_date
1,Alisha Sengupta,Allahabad,Sikkim,Product_3,Sports,1,2403.03,2403.03,UPI,Cancelled,2025-12-22
2,Sumer Kohli,Raiganj,Telangana,Product_66,Fashion,2,937.74,1875.48,UPI,Delivered,2025-06-22
3,Divyansh Wali,Berhampore,Madhya Pradesh,Product_64,Electronics,4,3707.35,14829.4,Credit Card,Cancelled,2026-02-10
4,Ryan Deol,Salem,Telangana,Product_40,Books,1,2574.04,2574.04,Cash,Shipped,2026-02-26
5,Rania Dutt,Ramagundam,Himachal Pradesh,Product_65,Electronics,3,544.96,1634.88,UPI,Shipped,2025-11-03
6,Divyansh Reddy,Berhampur,Andhra Pradesh,Product_43,Home,4,3881.32,15525.28,Net Banking,Cancelled,2025-12-18
7,Hiran Barad,Udupi,West Bengal,Product_26,Sports,3,4012.09,12036.27,Credit Card,Delivered,2026-03-16
8,Tushar Sheth,Kharagpur,Karnataka,Product_89,Books,1,1762.4,1762.4,Cash,Cancelled,2025-09-10
9,Krish Sarma,Tadipatri,Sikkim,Product_35,Books,5,851.9,4259.5,Cash,Pending,2026-03-15
10,Zeeshan Kant,Etawah,Kerala,Product_38,Fashion,5,2584.03,12920.15,UPI,Delivered,2025-05-23
11,Anay Krish,Darbhanga,Arunachal Pradesh,Product_93,Electronics,3,807.16,2421.48,UPI,Shipped,2025-11-11
12,Lakshay Keer,Karimnagar,Mizoram,Product_93,Home,2,4760.23,9520.46,Credit Card,Delivered,2026-05-14
13,Ivan Biswas,Bangalore,Punjab,Product_82,Books,1,4566.7,4566.7,Cash,Cancelled,2025-08-01
14,Rati Krish,Tinsukia,Chhattisgarh,Product_17,Fashion,5,167.52,837.6,UPI,Pending,2025-06-03
15,Pihu Ram,Malda,Kerala,Product_3,Fashion,4,2184.52,8738.08,UPI,Delivered,2026-02-08
16,Miraan Randhawa,Patna,Telangana,Product_93,Sports,1,810.98,810.98,UPI,Cancelled,2026-02-17
17,Vanya Mahal,Tinsukia,Meghalaya,Product_23,Fashion,1,595.18,595.18,Cash,Pending,2026-01-30
18,Manikya Kala,Muzaffarpur,Madhya Pradesh,Product_37,Electronics,5,678.86,3394.3,Cash,Shipped,2025-11-13
19,Diya Gokhale,Machilipatnam,Haryana,Product_65,Books,2,4868.98,9737.96,UPI,Cancelled,2025-10-20
20,Dharmajan Hans,Chittoor,Gujarat,Product_2,Electronics,3,4655.15,13965.45,UPI,Pending,2026-04-19
21,Devansh Khalsa,Silchar,Maharashtra,Product_12,Books,1,371.09,371.09,UPI,Shipped,2026-04-26
22,Shray Kohli,Siliguri,Kerala,Product_86,Home,2,358.15,716.3,Cash,Pending,2026-04-10
23,Samar Sankaran,Thanjavur,Odisha,Product_69,Fashion,1,944.03,944.03,UPI,Pending,2026-05-06
24,Anya Grover,Tezpur,Bihar,Product_63,Electronics,5,4614.35,23071.75,Cash,Pending,2026-05-12
25,Miraya Cheema,Gwalior,Uttarakhand,Product_85,Books,3,4878.73,14636.19,Cash,Delivered,2025-11-11
26,Jivin Bains,Proddatur,Punjab,Product_47,Fashion,2,4135.64,8271.28,Net Banking,Pending,2025-08-21
27,Anaya Bail,Sirsa,Karnataka,Product_13,Electronics,5,4717.0,23585.0,UPI,Cancelled,2025-12-22
28,Anaya Keer,Gopalpur,Chhattisgarh,Product_5,Home,5,1136.29,5681.45,UPI,Pending,2026-01-30
29,Gokul Rajagopalan,Malegaon,Andhra Pradesh,Product_54,Books,4,198.49,793.96,Credit Card,Pending,2025-12-24
30,Farhan Madan,Sasaram,Manipur,Product_100,Home,5,1977.62,9888.1,Cash,Pending,2026-01-02
31,Nirvaan Ramaswamy,Secunderabad,Himachal Pradesh,Product_14,Books,3,3341.12,10023.36,Net Banking,Pending,2025-08-13
32,Diya Warrior,Phusro,Telangana,Product_12,Books,4,3676.39,14705.56,Net Banking,Delivered,2025-08-07
